Figura,Altura,log_freq,Persones,Puntuació_total
Dolçaina,6.0,2.0,71.0,289.0
Alta de sis,6.0,1.7564924464863947,80.0,257.0
Pilar aixecat de cinc,5.0,2.0,31.0,140.0
Pilar de cinc,5.0,2.0,31.0,139.0
Canya,5.0,1.870110412579256,55.0,132.0
Trobada,5.0,1.8036481630067245,62.0,128.0
Tomasina,5.0,1.7199156311171429,62.0,123.0
Micalet,5.0,1.6900301969138627,48.0,120.0
Morera,5.0,1.5764122308210013,54.0,113.0
Alta de cinc,5.0,1.426217449358888,65.0,105.0
Xopera,5.0,1.4156385482078102,62.0,103.0
Oberta doble,4.0,1.9837283786721178,24.0,57.0
Volantinera,4.0,1.8036481630067245,52.0,54.0
Maria Alta,4.0,1.7564924464863947,45.0,52.0
Branca,4.0,1.5292565143006716,6.0,45.0
Sénia,4.0,1.4770568282323508,58.0,45.0
Encontre,4.0,1.5099499812484694,16.0,45.0
Banc,4.0,1.5010874944847508,11.0,44.0
Pilotó,4.0,1.4434877316759376,39.0,44.0
Pilar aixecat de quatre,4.0,1.4496739781548236,22.0,44.0
Roscana,4.0,1.3457964659821802,23.0,41.0
Cinc en un peu,4.0,1.3672072137614852,13.0,41.0
Torreta sense desplegar,4.0,1.3072247041683405,24.0,39.0
Pilar de quatre,4.0,1.2073893127264959,22.0,37.0
Torreta,4.0,1.2073893127264959,24.0,37.0
Roscana sense desplegar,4.0,1.1949340010052847,23.0,36.0
Creu,3.0,1.870110412579256,11.0,17.0
Font,3.0,1.6647624223271489,11.0,16.0
Palmera,3.0,1.5906747943252122,28.0,16.0
Oberta,3.0,1.7564924464863947,5.0,16.0
Campana oberta,3.0,1.563291944247685,8.0,15.0
Castell de Peníscola,3.0,1.6428744803935331,7.0,15.0
Torreta del Forcall,3.0,1.4434877316759376,9.0,14.0
Retaule,3.0,1.375014216670678,28.0,14.0
Piló de Titaigües,3.0,1.3424849174693063,10.0,13.0
Figuereta,3.0,1.2969766125669575,13.0,13.0
Marieta,3.0,1.2738515622990279,17.0,13.0
Senieta,3.0,1.1989815171731648,23.0,12.0
Guió,3.0,1.2017364740604548,13.0,12.0
Campana,3.0,1.187126998096092,8.0,12.0
Pinet,3.0,1.0,11.0,10.0
